attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
date_time,YYYY-MM-DD hh:mm:ss,,,,date and time of observation,Date,,
obs_num,,,,Sequential order in which samples were taken on a given day,Sequential order in which samples were taken on a given day,character,,
transect,,,,transect ID,transect ID,character,,
species,,,,,plant species,factor,,
section,,,,Vertical location along plant where measurement was taken. T = tip of leaf/stem; B = bottom of leaf/stem; integers represent total distance (cm) above water surface.,Vertical location along plant where measurement was taken. T = tip of leaf/stem; B = bottom of leaf/stem; integers represent total distance (cm) above water surface.,character,,
photo,,micromolesPerMeterSquaredPerSecond,real,,Rate of photosynthesis,numeric,-2867.231611,501.067556
cond,,molesPerMeterSquaredPerSecond,real,,Conductance to H2O,numeric,-1117.051062,1637.942186
ci,,micromolesPerMole,real,,Intercellular CO2 concentration,numeric,-233137.3812,56294.53615
trmmol,,micromolesPerMole,real,,Transpiration rate,numeric,-21.378685,78.624949
VpdL,,kilopascal,real,,Vapor pressure deficit based on Leaf temperature,numeric,-0.481791,32.497367
Area,,micromolesPerSecond,real,,Area of leaf surface in IRGA chamber head,numeric,0.5,33
stm_rat,,dimensionless,natural,,Stomatal ratio estimate,numeric,1,1
BLCond,,molesPerMeterSquaredPerSecond,real,,Total boundary layer conductance for the life (includes stomatal ratio),numeric,-9.016523,5.255218
Tair,,celsius,real,,Temperature in the sample cell,numeric,8.959299,48.149132
Tleaf,,celsius,real,,Temperature of the leaf thermocouple,numeric,1.523213,74.192284
TBlk,,celsius,real,,Temperature of the cooler block,numeric,9.02272,48.254738
CO2R,,micromolesPerMole,real,,CO2 concentration inside the reference cell,numeric,-0.132248,2443.071533
CO2S,,micromolesPerMole,real,,CO2 concentration inside the sample cell,numeric,-0.025031,2416.128174
H2OR,,micromolesPerMole,real,,H2O concentration inside the reference cell,numeric,3.129625,41.07864
H2OS,,micromolesPerMole,real,,H2O concentration inside the sample cell,numeric,3.792551,79.275116
RH_R,,dimensionless,real,,Relative humidity in the reference cell,numeric,17.006193,69.980652
RH_S,,dimensionless,real,,Relative humidity in the sample cell,numeric,19.365883,86.52655
Flow,,micromolesPerSecond,real,,Flow rate to the sample cell,numeric,399.149322,501.006988
PARi,,micromolesPerMeterSquaredPerSecond,real,,Photosynthetically active radiation as measured by in-chamber sensor,numeric,-1412.018311,1937.74707
PARo,,micromolesPerMeterSquaredPerSecond,real,,Photosynthetically active radiation as measured by external sensor,numeric,0,2050.601563
vp_kPa,,kilopascal,real,,Average vapor pressure deficit,numeric,0.372634,7.707693
VpdA,,kilopascal,real,,Vapor pressure deficit based on air temperature,numeric,-0.045369,15.939139
